"regex","location"
"^libwkmck1f\d+.*$","McKeldin Library 1st floor"
"^libwkm[abcd]2f\d+.*$","McKeldin Library 2nd floor"
"^libwkmck4f\d+.*$","McKeldin Library 4th floor"
"^libwkmck5f\d+.*$","McKeldin Library 5th floor"
"^libwkmck6f\d+.*$","McKeldin Library 6th floor"
"^libwk6f1.*$","McKeldin Library 6th floor RM 6101"
"^libwk6f3.*$","McKeldin Library 6th floor RM 6103"
"^libwk6f7.*$","McKeldin Library 6th floor RM 6107"
"^libwkmck7f\d+.*$","McKeldin Library 7th floor"
"^libwkatl.*$","Adaptive Technology Lab"
"^libwkepsl\d+g?$","Engineering Library 1st floor"
"^libwkepsl2f\d+$","Engineering Library 2nd floor"
"^libwkepsl3f\d+g?$","Engineering Library 3rd floor"
"^libwkchem(1f)?\d+g?$","Chemistry Library 1st floor"
"^libwkchem2f\d+g?$","Chemistry Library 2nd floor"
"^libwkchem3f\d+g?$","Chemistry Library 3rd floor"
"^libwknp\d+.*$","Nonprint Library 1st floor"
"^libwkmd\d+$","MARYLANDIA"
"^libwkpal1f\d+.*$","PAL 1st floor"
"^libwkpal2f\d+.*$","PAL 2nd floor"
"^libwkart.*$","Art Library 1st floor"
"^libwkarc.*$","Arch Library"
"^((?!libwk)|(libwkmckdel)).*$","Ignored"
